conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,coordinates,latitude,longitude
1.78e+18,Wed Apr 24 03:21:22 +0000 2024,35,Usai Mahkamah Konstitusi menolak seluruh permohonan Anies-Muhaimin dan Ganjar Mahfud kini PDI Perjuangan menggugat hasil Pilpres 2024 ke PTUN. Selain itu tim hukum PDI Perjuangan meminta KPU mengundur penetapan Prabowo dan Gibran sebagai presiden dan wakil presiden terpilih. https://t.co/bI21HNF9MU,1.78e+18,https://pbs.twimg.com/media/GL5kj42asAATVv3.jpg,,in,,4,1,8,https://x.com/catchmeupco/status/1782973077124792630,1.16e+18,catchmeupco,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.78e+18,Wed Apr 24 06:01:42 +0000 2024,14,1. Presiden Joko Widodo memberikan tanggapan terkait putusan Mahkamah Konstitusi (MK) yang menolak seluruh gugatan sengketa hasil Pemilihan Presiden (Pilpres) 2024. https://t.co/IPJcgBLkJR,1.78e+18,https://pbs.twimg.com/media/GL6JQeAaoAAUxqr.jpg,,in,"Jakarta Pusat, DKI Jakarta",1,1,3,https://x.com/KemensetnegRI/status/1783013427365237191,3522129133.0,KemensetnegRI,"(-6.18233995, 106.84287153600738)",-6.18233995,106.84287153600738
1.79e+18,Thu May 09 09:00:00 +0000 2024,4,Mahkamah Konstitusi (MK) telah memutus sengketa hasil Pilpres 2024. Hasilnya menolak permohonan yang diajukan oleh pasangan calon (paslon) nomor urut 01 Anies Baswedan dan Muhaimin Iskandar serta paslon nomor urut 03 Ganjar Pranowo dan Mahfud MD. https://t.co/JPLS9ieQmH,1.79e+18,https://pbs.twimg.com/media/GNHlmHobMAAiOJT.jpg,,in,Jakarta,0,1,1,https://x.com/HukumOnline/status/1788494117233725825,125297822.0,HukumOnline,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.78e+18,Wed Apr 24 08:52:57 +0000 2024,3,Calon presiden dan calon wakil presiden RI Anies Baswedan-Muhaimin Iskandar (Amin) menghadiri penetapan capres-cawapres terpilih hasil Pilpres 2024 di KPU RI sebagai proses bernegara. Menurut dia agenda penetapan pemenang pilpres adalah sebuah proses bernegara mereka pun https://t.co/pjJZtmAXlK,1.78e+18,https://pbs.twimg.com/ext_tw_video_thumb/1783056459431079936/pu/img/9IShahrl61nirHzw.jpg,,in,,0,1,0,https://x.com/RadioElshinta/status/1783056524254101524,121640063.0,RadioElshinta,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.78e+18,Thu Apr 25 11:09:10 +0000 2024,0,Penetapan Prabowo Subianto-Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden terpilih hasil Pilpres 2024 oleh Komisi Pemilihan Umum (KPU) menandai berakhirnya proses politik pencarian calon pemimpin bangsa. Ikuti pembahasannya di #BedahEditorial di kanal youtube https://t.co/drcht220lQ,1.78e+18,https://pbs.twimg.com/amplify_video_thumb/1783452738715787264/img/CuwA9X1KDkyiEXo1.jpg,,in,,0,0,0,https://x.com/Metro_TV/status/1783453190496886831,57261519.0,Metro_TV,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.79e+18,Thu May 02 07:28:01 +0000 2024,11,Partai Buruh mendukung program yang disiapkan Presiden dan Wakil Presiden terpilih Prabowo Subianto-Gibran Rakabuming Raka. Dukungan ini muncul setelah Mahkamah Konstitusi (MK) menolak gugatan sengketa hasil Pemilihan Presiden (Pilpres) 2024 beberapa waktu lalu. Presiden https://t.co/8ocwrRXs6J,1.79e+18,https://pbs.twimg.com/ext_tw_video_thumb/1785934004228956160/pu/img/Kd17rQUwx85UPXco.jpg,,in,"DKI Jakarta, Indonesia",0,1,4,https://x.com/dekade_08/status/1785934251277631766,1.58e+18,dekade_08,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.79e+18,Mon May 06 12:19:54 +0000 2024,6,Waduh! Prof @mohmahfudmd mengaku dongkol dengan hasil Pilpres 2024. Mengapa? Nonton selengkapnya di #SpecialDialogueMetroTV MAHFUD TERUS NGEBUT hari Selasa (7/5) pukul 21.05 WIB. #mahfudmd #pilpres2024 #pemilu2024 https://t.co/z9Ou4WUvVz,1.79e+18,https://pbs.twimg.com/ext_tw_video_thumb/1787457144184537088/pu/img/lpLklR-HaDaukC8i.jpg,,in,,0,0,1,https://x.com/Metro_TV/status/1787457258500317340,57261519.0,Metro_TV,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.78e+18,Tue Apr 23 06:51:27 +0000 2024,6,Prabowo Subianto menanggapi hasil persidangan gugatan sengketa pilpres di Mahkamah Konstitusi yang diumumkan pada Senin (22/04/2024) kemarin. Ia pun menyampaikan rasa syukur karena proses di MK telah tuntas. Lantas apa saja harapan Prabowo ke depan? | Narasi Daily https://t.co/o4PKrnjq60,1.78e+18,https://pbs.twimg.com/amplify_video_thumb/1782663460033286144/img/skf6d5l0tRyJKmbU.jpg,,in,,2,0,2,https://x.com/NarasiNewsroom/status/1782663561325752706,1.16e+18,NarasiNewsroom,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.79e+18,Tue Apr 30 16:13:26 +0000 2024,0, TIGA HAKIM MK BANTAH HASIL SIDANG SENGKETA PILPRES SIDANG MASIH AKAN DILANJUTKAN Tidak ditemukan informasi terkait tiga hakim MK membantah hasil sidang sengketa Pilpres 2024 dan sidang masih akan dilanjutkan. Video tersebut hanya berisi gabungan dari beberapa cuplikan https://t.co/RSCxepT0kt,1.79e+18,https://pbs.twimg.com/media/GMbOzl1b0AE8EZA.jpg,,in,"Jakarta Pusat, DKI Jakarta",0,0,1,https://x.com/TurnBackHoax/status/1785341701357470056,8.03e+17,TurnBackHoax,"(-6.18233995, 106.84287153600738)",-6.18233995,106.84287153600738
1.79e+18,Mon May 13 10:54:11 +0000 2024,2,Kemenangan Pilpres 2024 Prabowo Subianto: Jokowi Effect Membantu Saya Jakarta 12 Mei 2024 https://t.co/1WcmK1j76P,1.79e+18,https://pbs.twimg.com/ext_tw_video_thumb/1789972231696875520/pu/img/elmHn3wBWJ-fMT1V.jpg,,in,,0,0,0,https://x.com/KerjaHasil_id/status/1789972404447412583,1.41e+18,KerjaHasil_id,"(46.3144754, 11.0480288)",46.3144754,11.0480288
